Province,ARIMA_MAE_moy,ARIMA_RMSE_moy,ARIMA_MAPE_moy,Prophet_MAE_moy,Prophet_RMSE_moy,Prophet_MAPE_moy,Meilleur_CV
Canada,0.537,0.632,8.6,0.909,0.958,16.2,ARIMA
Alberta,0.86,0.959,12.6,1.745,1.845,28.6,ARIMA
Colombie-Britannique,0.508,0.599,9.3,0.731,0.79,14.1,ARIMA
Manitoba,0.613,0.692,11.3,1.02,1.091,21.2,ARIMA
Nouveau-Brunswick,0.59,0.701,8.3,1.166,1.265,16.9,ARIMA
Terre-Neuve-et-Labrador,1.035,1.168,9.7,1.63,1.757,16.2,ARIMA
Nouvelle-Écosse,0.493,0.622,6.9,1.204,1.302,18.6,ARIMA
Ontario,0.593,0.67,9.0,1.078,1.172,17.0,ARIMA
Île-du-Prince-Édouard,1.065,1.208,14.1,1.265,1.419,17.1,ARIMA
Québec,0.636,0.74,12.7,0.944,1.037,20.5,ARIMA
Saskatchewan,0.609,0.725,12.0,1.306,1.406,27.4,ARIMA
