Province,Dernier observé (%),Horizon,ARIMA (%),Prophet (%)
Canada,6.5,3 mois,6.6,6.4
Canada,6.5,6 mois,6.6,6.3
Canada,6.5,12 mois,6.6,6.4
Alberta,7.0,3 mois,7.0,8.0
Alberta,7.0,6 mois,7.0,8.0
Alberta,7.0,12 mois,7.0,8.2
Colombie-Britannique,6.5,3 mois,6.5,5.7
Colombie-Britannique,6.5,6 mois,6.4,5.7
Colombie-Britannique,6.5,12 mois,6.5,5.8
Manitoba,5.4,3 mois,5.4,5.9
Manitoba,5.4,6 mois,5.4,5.9
Manitoba,5.4,12 mois,5.4,5.9
Nouveau-Brunswick,7.3,3 mois,7.2,7.0
Nouveau-Brunswick,7.3,6 mois,7.2,6.9
Nouveau-Brunswick,7.3,12 mois,7.2,6.7
Terre-Neuve-et-Labrador,8.2,3 mois,8.9,10.6
Terre-Neuve-et-Labrador,8.2,6 mois,9.0,10.4
Terre-Neuve-et-Labrador,8.2,12 mois,8.9,10.2
Nouvelle-Écosse,6.5,3 mois,6.6,6.7
Nouvelle-Écosse,6.5,6 mois,6.7,6.6
Nouvelle-Écosse,6.5,12 mois,6.7,6.5
Ontario,7.0,3 mois,7.1,6.7
Ontario,7.0,6 mois,7.1,6.7
Ontario,7.0,12 mois,7.1,6.7
Île-du-Prince-Édouard,7.6,3 mois,7.5,7.5
Île-du-Prince-Édouard,7.6,6 mois,7.4,7.3
Île-du-Prince-Édouard,7.6,12 mois,7.3,7.2
Québec,5.4,3 mois,5.5,5.0
Québec,5.4,6 mois,5.5,4.9
Québec,5.4,12 mois,5.5,4.9
Saskatchewan,6.1,3 mois,6.0,5.9
Saskatchewan,6.1,6 mois,6.0,5.9
Saskatchewan,6.1,12 mois,5.9,5.9
